;ANOVA F-value;Mutual information;Decision-tree feature importance
ID de cluster;1.527567386264948;0.000862638619669871;0.08676758611260639
Modo de jogo;25.960395067376638;0.0007914757938027206;0.05579426557256717
Tipo de jogo;16.549668409827824;0.0006284967315456536;0.0486125962268848
Herói 0;56.475516433058665;0.0010904026115385213;0.011192453158822963
Herói 1;54.60416460477673;0.0011331457419767666;0.01503556400544905
Herói 2;14.470953768566998;0.000829423883948559;0.004980932165677485
Herói 3;1.7689687885089478;0.0008311170716767701;0.010028883442927586
Herói 4;71.91892114476231;0.0013283318706205339;0.009853633054734728
Herói 5;56.22296465084256;0.0010415576831207596;0.014392732284064713
Herói 6;0.17787383736981524;0.0006769876808461905;0.01022097892815235
Herói 7;2.4731523325818987;0.0010883826027266697;0.013686263158462839
Herói 8;275.2095669016901;0.0021629864096184594;0.00712279225589101
Herói 9;0.12864971836498082;0.0008039543363583878;0.010445507025261024
Herói 10;26.351193846243078;0.0007374260913241803;0.009442065109801627
Herói 11;47.36901310133929;0.0009040935382575687;0.007349160732224298
Herói 12;39.59270681084986;0.0009440295780382213;0.005658840073163778
Herói 13;42.64928639533114;0.0009709582356631774;0.016764687530209356
Herói 14;15.78294480608309;0.000793837457632851;0.005720612254707677
Herói 15;2.883406762345992;0.0007123612684355308;0.009346228499951911
Herói 16;8.512483830586532;0.0006995206172114865;0.009549489032875745
Herói 17;82.30784983956899;0.0009732294333142022;0.011714384510562843
Herói 18;54.94344936744126;0.0008736671651524319;0.008522043121329304
Herói 19;7.521995483777254;0.000679224111517105;0.007774622491024898
Herói 20;170.11670414691912;0.0015488725142830217;0.004519480060411514
Herói 21;72.71353572001811;0.0011218765335612813;0.009053160654561914
Herói 22;2.651834628611213;0.0005706675159677466;0.009476674537623705
Herói 23;84.54358711261342;0.0012159287993880618;0.006199690512879838
Herói 24;26.026952601118833;0.0009220773260126913;0.010630579139910737
Herói 25;20.42437010232668;0.0008908629464416773;0.005708826434154957
Herói 27;0.708980642438967;0.0008751305238076989;0.010190134103903558
Herói 28;10.672518408130138;0.0010109353309490877;0.0065307614007721615
Herói 29;2.258751572756536;0.0007742449024017128;0.008061105400741946
Herói 30;20.347466352485593;0.0008111081417753851;0.006119078938135295
Herói 31;119.45521605774223;0.0013792075589256748;0.012135710336359101
Herói 32;5.19551918691716;0.0007638348048430643;0.005483167737959804
Herói 33;39.26644091723551;0.0008777589593813228;0.010472955758622985
Herói 34;1.5319577033992153;0.0007230920644216776;0.014010713760552726
Herói 35;158.8013375640573;0.0015220254519932074;0.005556087655825051
Herói 36;26.858313605847435;0.0008326525071574631;0.004915811973759289
Herói 37;2.4128531021072464;0.0006791573524129535;0.0036665557785534168
Herói 38;124.51401214300418;0.001007937002284227;0.005708494053645586
Herói 39;3.359729073728042;0.0007729782862418455;0.006695857021028917
Herói 40;2.163695766649198;0.0009523618559690439;0.010773509981763501
Herói 41;107.21879935182936;0.0012687334560548956;0.007000406984041299
Herói 42;14.669275521787432;0.0007193300838308847;0.005605442241281703
Herói 43;13.946408954186218;0.0009149754516969822;0.01641005703066638
Herói 44;1.3215389587704105;0.0007585766258571392;0.0049736733356535905
Herói 45;27.3205778259513;0.0008781410316867078;0.006754009679609509
Herói 46;2.2505802532242862;0.0008881701668005016;0.0073316295393700244
Herói 47;38.51210900001176;0.0008842832901557496;0.007540720628538628
Herói 48;0.15957855005446656;0.0006412856063068717;0.00602249577980781
Herói 49;9.51199763323793e-05;0.000831643240205342;0.006799980815258101
Herói 50;0.2764451635818317;0.0005864633255843232;0.004628873215485365
Herói 51;26.361969388878226;0.0009495558217205336;0.0036503756594373038
Herói 52;170.10439766047764;0.001407782727990572;0.004297966336545223
Herói 53;0.03954123932475196;0.0006086185623308559;0.011578992680739442
Herói 54;0.38566680870808884;0.0005921257320177076;0.00399119241049417
Herói 55;31.227751984440935;0.0010241601321552317;0.007250941059484902
Herói 56;293.1316951770674;0.002576234872773111;0.0050528640685418265
Herói 57;98.79325338041302;0.0009994267723245054;0.0034568605884062235
Herói 58;31.88575756134534;0.0006902385215201368;0.010636593977367348
Herói 59;0.004296246896970002;0.0008737588442234911;0.004458568628771226
Herói 60;75.22563553774933;0.0007290959420784216;0.003269340864682406
Herói 61;19.800051395045838;0.0008736357246495463;0.011452784682760429
Herói 62;3.1093349729337127;0.0007728051324176865;0.0073903172835039325
Herói 63;9.997588478921992;0.0007566915191029344;0.004983368106067676
Herói 64;27.364726371270528;0.0006197494089551702;0.004720767030280939
Herói 65;8.690194937748366;0.0005659656002073655;0.0011716556289666376
Herói 66;72.46158745375894;0.0010823825254928753;0.007918556854276858
Herói 67;5.247696440434806;0.0006656110352286148;0.006718816907951407
Herói 68;39.992147421820846;0.0009164190511939307;0.004251420886053128
Herói 69;48.31463456635492;0.0008940264354707539;0.010698981333650789
Herói 70;9.540257750243782;0.0008895688347187369;0.009859077098787436
Herói 71;37.49286919674164;0.0007957925802362498;0.004313389881934839
Herói 72;3.7794818655439997;0.0007393888051219787;0.01057049183270623
Herói 73;117.10050792495356;0.0011524711897579131;0.010481868326284225
Herói 74;57.34695165942;0.0008341294432522739;0.007032612267892072
Herói 75;0.9791902247135779;0.0005472610576089587;0.00537305641862558
Herói 76;17.64063417711259;0.0006956382335804511;0.0037675846209293457
Herói 77;0.2736423731002338;0.000844394783651532;0.0027053619921063978
Herói 78;8.436697682556535;0.0007797088818747921;0.0072630054401394955
Herói 79;49.41828305870858;0.0008638480535314464;0.0026097143808981307
Herói 80;0.4521975652263013;0.0007668877844421141;0.006485863601419696
Herói 81;15.00906162544826;0.0007246818700299528;0.004617114099705803
Herói 82;6.445511488682668;0.000705186809816245;0.003158247307142304
Herói 83;18.90227280762322;0.0006812061302014816;0.008386060032745975
Herói 84;0.043221992119195335;0.0008269704942617317;0.005927100311098879
Herói 85;54.67321185717554;0.0011532060932143585;0.008382371354715631
Herói 86;2.5651182677977027;0.0008204784870805159;0.006584548723906603
Herói 87;0.23550060340455203;0.0009150654549601178;0.0073994443172346195
Herói 88;21.551528886885446;0.0010684144113696737;0.003984119873154561
Herói 89;1.263266688042119;0.0006765034867993913;0.005792322217845677
Herói 90;94.3844214102429;0.001083255779202339;0.002544396196360113
Herói 91;12.405396442373522;0.0008318037697454895;0.0018574715056061276
Herói 92;4.673267998182666;0.0008956706723664154;0.01433696816530437
Herói 93;18.221773684579592;0.0007754574725732866;0.008078157824330318
Herói 94;0.28946133822094344;0.0008821020929189238;0.007018260627613296
Herói 95;29.645654582303052;0.0008907708349479626;0.006556393460092578
Herói 96;23.783054379214896;0.0007491156755312733;0.006930535569461921
Herói 97;5.439357740928814;0.0008242375164590366;0.011778478117063229
Herói 98;12.511688909890994;0.0007579616838734404;0.008050079691120563
Herói 99;78.63135461363089;0.0012658146665660431;0.004509311956073255
Herói 100;16.99224495264683;0.0009490000787808795;0.0051176986540668575
Herói 101;35.15267180324137;0.0009851802908677598;0.004978274476108396
Herói 102;118.59271992881534;0.0012192605667958678;0.006501926865486013
Herói 103;6.442613377599482;0.0009631297668145277;0.013868084446062934
Herói 104;9.261554753547559;0.0005713097693611324;0.005744038972663635
Herói 105;138.99163177582108;0.0013314599259193404;0.006339744531098294
Herói 106;42.53248469227917;0.0010572989323110638;0.0027485823481072425
Herói 107;2.153604682220103;0.0008219237881108699;0.005542921351774805
Herói 108;1.139607129548543;0.000763512082449318;0.005133635876684445
Herói 109;38.34657452766542;0.0006914810302134322;0.0038367904387859486
Herói 110;32.10456658897218;0.0010338736494042444;0.005083325862818177
Herói 112;27.714460939536227;0.000761297211943881;0.0028492387378299963
